belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
Species Collection;35000000;Science Fiction;Action Horror ;en;Having just returned from a mission to Mars  Commander Ross isnt exactly himself. Hes slowly becoming a terrifying alien entity with one goal -- to procreate with human women! When countless women suffer gruesome deaths after bearing half-alien offspring  scientist Laura Baker and hired assassin Press Lennox use Eve  a more tempered alien clone  to find Ross and his brood. Before long Eve escapes to mate with Ross.;8.602;Metro-Goldwyn-Mayer;United States of America;1998-04-10;19165560;93;en;Mating season begins...;Species II;4.6;233;washington d.c. telepathy dna mercenary transformation quarantine hybrid on the run serial killer mind reading cloning los angeles astronaut killing spree virus alien dna 
The Human Centipede Collection;0;Drama;Horror Crime ;en;Inspired by the fictional Dr. Heiter  disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.;9.163;Six Entertainment;United Kingdom;2011-10-06;0;91;en;100% medically INaccurate.;The Human Centipede 2 (Full Sequence);4.6;502;insect sexual obsession rape sex sadistic baby kidnapping exploitation wound suffering victim sadism knife tools sequel controversy deception murder sexploitation gore mute blood rape victim sexual violence torture sadist cruelty violent death brutality violence held captive captive extreme sadism centipede mouth perverse sex onanism perverted sexual sadism feces sandpaper trilogy apartment pervert humiliation death rapist bdsm sexual torture defecation crowbar evil man hell on earth violent sex very little dialogue funnel diarrhea paraphilia vile transgressive film coprophagia scatology dehumanization 
;50000000;Action;Thriller ;en;Forrest Taft is an environmental agent who works for the Aegis Oil Company in Alaska. Aegis Oils corrupt CEO  Michael Jennings  is the kind of person who doesnt care whether or not oil spills into the ocean or onto the land  just as long as its making money for him.;4.346;Warner Bros. Pictures;United States of America;1994-02-18;49000000;102;cs;His Battle To Save The Alaskan Wilderness And Protect Its People Can Only Be Won...;On Deadly Ground;4.6;169;fight inuit petrol company alaska enviromental 
;10000000;Action;;en;Two brothers  both with troubled paths  find themselves in the middle of one last bank job.;5.535;Maple Leaf Finance Primeredian Entertainment;Canada;2014-09-11;0;94;en;Brothers in arms for life.;American Heist;4.6;199;sibling relationship robbery bank 
;14000000;Comedy;Romance ;en;When a young man agrees to housesit for his boss  he thinks itll be the perfect opportunity to get close to the woman he desperately has a crush on ? his bosss daughter. But he doesnt plan on the long line of other houseguests that try to keep him from his mission. And he also has to deal with the daughters older brother  whos on the run from local drug dealers.;5.747;Dimension Films;United States of America;2003-08-21;0;83;en;;My Bosss Daughter;4.6;313;
;15000000;Thriller;Drama ;en;Evan Lake  a veteran CIA agent  has been ordered to retire. But when his prot‚g‚ uncovers evidence that Lakes nemesis  the terrorist Banir  has resurfaced  Lake goes rogue  embarking on a perilous  intercontinental mission to eliminate his sworn enemy.;4.65;TinRes Entertainment;Bahamas;2014-12-04;0;94;ar;;Dying of the Light;4.6;156;cia retirement espionage terrorism 
;27000000;Comedy;Western Adventure ;fr;Fearless gunslinger  Lucky Luke  is ordered by the President to bring peace to Daisy Town.;6.821;Angoa-Agicoa;Argentina;2009-10-21;0;103;fr;;Lucky Luke;4.6;240;superhero based on comic cowboy street shootout 
;47000000;Action;Western Drama Fantasy Thriller ;en;Gunslinger Jonah Hex (Josh Brolin) is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull (John Malkovich)  a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task  he also gets revenge on the man who slayed his wife and child. Megan Fox plays a prostitute as well as Jonah Hexs love interst in the film.;6.354;Warner Bros. Pictures;United States of America;2010-06-18;10539000;81;en;Revenge gets ugly.;Jonah Hex;4.5;615;gunslinger usa dc comics hell facial scar death confederate tomahawk 
;0;Horror;;en;When a couple of American young adults fly to Israel to visit the city of Jerusalem  a biblical nightmare falls upon the city;5.39;Epic Pictures Group;Israel;2016-01-22;0;87;en;On Judgement Day  Hell Shall Inherit The Earth.;Jeruzalem;4.5;180;israel jerusalem demon found footage 
Universal Soldier Collection;45000000;Action;Science Fiction ;en;Luc Deveraux  the heroic former Universal Soldier  is about to be thrown into action once again. When Seth (Michael Jai White)  the supercomputer controlled ultra-warrior  decides to take revenge and destroy its creators  only Luc can stop it. All hell breaks loose as Luc battles Seth and a deadly team of perfect soldiers in a struggle that pits man against machine and good against evil.;6.336;TriStar Pictures;United States of America;1999-08-05;10667893;82;en;Prepare to become obsolete;Universal Soldier: The Return;4.5;206;super computer computer program destiny timebomb 
;0;Romance;Drama ;en;18-year-old Penny Cooper spent years pining for Johnny Sanders Jr.  but when a mysterious musician shows up on the beach  Penny is torn.;10.113;Alex Israel;United States of America;2017-09-29;0;75;de;Dont Get Burned;SPF-18;4.5;375;beach malibu romantic drama 
The Exorcist Collection;14000000;Horror;Thriller Fantasy Drama ;en;Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so  can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?;5.989;Warner Bros. Pictures;United States of America;1977-06-17;30749142;118;en;Its four years later... what does she remember?;Exorcist II: The Heretic;4.5;216;exorcism examination pact with the devil possession priest devil demonic possession locust 
;4000000;Horror;;en;The story springs from the real-world headlines of religious cults and mass suicides. With Veil  it begins 30 years ago  when members of a religious cult known as Heavens Veil take their own lives. The truth behind what really happened remains buried deep in the memory of the sole survivor  a five-year-old girl  who returns to the compound with a documentary crew as an adult. They soon discover something that is far more terrifying than anything they could have imagined.;5.256;Blumhouse Productions;United States of America;2016-04-21;0;93;en;The dead come back;The Veil;4.5;175;cult 
;0;Adventure;Comedy ;fr;Richard Dacier owns a tour agency specialized on organizing safaris for European tourists eager to confront the African wild life. Actually  he took the job after his father and never went into the savanna by himself. As he owes big money to some mobster  he is compelled to convey a fake tourist  with a suspicious suitcase  toward Mozambic. To avoid suspicion from the authorities  he is supposed to tour a group of tourists as usual. The only problem - he is completely unexperienced as a guide!;4.98;Eskwad;France;2009-04-01;0;102;fr;;Safari;4.5;159;africa safari 
;0;Romance;;es;Laura and Carlos love each other as if every day was the last  and perhaps that first love intensity is what will tear them apart a year later.;0.663;TVE;Spain;2017-04-21;0;105;es;;Loving;4.5;221;love romance 
;15000000;Comedy;;en;Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment  but the two friends couldnt care less about saving the Earth. One day  when a group of scientists begin a mission to live inside a Bio-Dome for a year without outside contact  Bud and Doyle mistakenly become part of the project themselves.;4.941;Weasel Productions;United States of America;1996-01-12;0;95;en;Bud and Doyle are here to save the world. But whos gonna save the world from Bud and Doyle?;Bio-Dome;4.5;162;biotope vegetarian pollution 
From Dusk Till Dawn Collection;5000000;Crime;Action Horror Thriller ;en;A gang of bank-robbing misfits heads to Mexico with the blueprints for the perfect million-dollar heist  but when one of the crooks wanders into the wrong bar... and crosses the wrong vampire... the thieving cohorts develop a thirst for blood!;6.089;A Band Apart;United States of America;1999-03-16;0;88;en;;From Dusk Till Dawn 2: Texas Blood Money;4.5;175;sheriff bar vampire nationalbank bank robbery hoodlum 
;0;Comedy;;en;An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave  he begins to spread rumors that his father is sexually abusing Freddy.;5.298;Epsilon Motion Pictures;United States of America;2001-04-18;0;87;en;A touching story of a young man who desperately wants to make his daddy proud.;Freddy Got Fingered;4.5;180;wheelchair slacker sausage 
;70000000;Action;Adventure ;en;In Ancient Greece 1200 B.C.  a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince  Hercules  knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe  Princess of Crete  who has been promised to his own brother. When Hercules learns of his greater purpose  he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love  sacrifice and the strength of the human spirit.;6.26;Millennium Films;United States of America;2014-01-10;61279452;99;en;Every Man Has a Destiny;The Legend of Hercules;4.5;722;mythology zeus ancient greece demigod city of argos mistaken parentage 
Halloween Collection;13000000;Horror;Thriller ;en;Serial Killer Michael Myers is not finished with Laurie Strode  and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment  and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!;7.776;Dimension Films;United States of America;2002-07-01;37664855;94;en;Evil finds its way home;Halloween: Resurrection;4.5;385;sibling relationship innocence serial killer michael myers 
The Flintstones (Live-Action) Collection;83000000;Science Fiction;Comedy Family Romance ;en;The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love  except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilmas love?;4.649;Amblin Entertainment;United States of America;2000-04-28;59468275;90;en;Get ready to rock!;The Flintstones in Viva Rock Vegas;4.5;261;waitress marriage proposal flirt stone age best friend dinosaur 
RoboCop Collection;22000000;Action;Adventure Crime Science Fiction Thriller ;en;The mega corporation Omni Consumer Products is still bent on creating their pet project  Delta City  to replace the rotting city of Detroit. Unfortunately  the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end  OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight  Robocop must decide where his loyalties lie.;6.344;Orion Pictures;United States of America;1993-04-17;10696210;104;en;Hes back to lay down the law.;RoboCop 3;4.5;449;cyborg dystopia police sequel cyberpunk policeman robocop 
;0;Action;Thriller ;en;A former CIA operative is kidnapped by a group of terrorists. When his son learns there is no plan for his father to be saved  he launches his own rescue operation.;5.736;Emmett/Furla Films;United Kingdom;2015-12-18;16775;83;en;Vengeance runs in the family.;Extraction;4.5;156;terrorist kidnapping ex cia agent rescue operation 
The Last Exorcism Collection;5000000;Horror;Thriller Drama ;en;As Nell Sweetzer tries to build a new life after the events of the first movie  the evil force that once possessed her returns with an even more horrific plan.;5.385;CBS Films;United States of America;2013-02-28;15179302;88;en;The second coming;The Last Exorcism Part II;4.5;270;found footage 
;5400000;Action;Fantasy Science Fiction ;ru;During the Cold War  an organization called Patriot created a super-hero squad  which includes members of multiple soviet republics. For years  the heroes had to hide their identities  but in hard times they must show themselves again.;7.418;Renovatio Entertainment;Russia;2017-02-14;4803565;100;ru;Squad of Soviet Superheroes;Guardians;4.5;299;cold war superhero 
;7000000;Horror;;en;An unexpected pregnancy takes a terrifying turn for newlyweds Zach and Samantha McCall.;5.93;TSG Entertainment;United States of America;2014-01-08;36433975;89;en;The Devil Always Gets His Due;Devils Due;4.4;279;france satan found footage 
Daddy Day Camp Collection;6000000;Comedy;Family ;en;Seeking to offer his son the satisfying summer camp experience that eluded him as a child  the operator of a neighborhood daycare center opens his own camp  only to face financial hardship and stiff competition from a rival camp.;4.936;Revolution Studios;United States of America;2007-08-08;18197398;89;en;The summer is going to be in tents.;Daddy Day Camp;4.4;165;competition grandparent grandchild relationship vomit summer camp toilet rivalry colonel 
;0;Horror;Science Fiction Thriller ;en;When a strange signal pulsates through all cell phone networks worldwide  it starts a murderous epidemic of epic proportions when users become bloodthirsty creatures  and a group of people in New England are among the survivors to deal with the ensuing chaos after.;6.048;Cargo Entertainment;United States of America;2016-07-06;1133031;98;en;When everyone is connected no one is safe.;Cell;4.4;524;suicide based on novel or book airport boston murder drive-in theatre violence cell phone ice cream truck virus 
;6000000;Comedy;;en;The film is composed of multiple comedy shorts presented through an overarching segment titled The Pitch  in which Charlie Wessler  a mad screenwriter  is attempting to pitch a script to film executive Griffin Schraeder. After revealing several of the stories in his script  Wessler becomes agitated when Schraeder dismisses his outrageous ideas  and he pulls a gun on him and forces him to listen to multiple other stories before making Schraeder consult his manager  Bob Mone  to purchase the film.;8.07;Witness Protection Films;United States of America;2013-01-01;32438988;90;en;The biggest cast ever assembled for the most outrageous comedy ever made.;Movie 43;4.4;1164;slapstick anthology ensemble cast duringcreditsstinger woman director laxative 
The Cabin Fever Collection;0;Horror;;en;In this grisly remake of the 2002 horror hit  five college chums rent an isolated woodland cabin for a party. But their fun quickly ends when the group is exposed to a hideous flesh-eating virus  and survival becomes the name of the game.;5.297;Pelican Point Media;United States of America;2016-02-12;0;99;en;You cant run from whats inside.;Cabin Fever;4.4;179;vacation remake woods burned alive murder gore marijuana blood teenager cabin in the woods disease dog flesh eating virus 
Jeepers Creepers Collection;30000000;Horror;Mystery Thriller ;en;Taking place on the last day of the Creeper?s twenty-three-day feeding frenzy  as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins.;10.108;Scoundrel Media;United States of America;2017-09-26;0;100;en;Third Times the Charm;Jeepers Creepers 3;4.4;248;monster truck sequel revenge vision supernatural creature hunt military booby trap prehistoric creature generational farming community deadly creature disembodied hand 
V/H/S Collection;0;Horror;Thriller ;en;V/H/S: VIRALs segments include the story of a deranged illusionist who obtains a magical object of great power  a homemade machine that opens a door to a parallel world  teenage skaters that unwillingly become targets of a Mexican death cult ritual  and a sinister  shadowy organization that is tracking a serial killer. The segments are tied together by the story of a group of fame-obsessed teens following a violent car chase in LA that unwittingly become stars of the next internet sensation.;4.08;Bloody Disgusting;United States of America;2014-10-23;2756;81;en;;V/H/S: Viral;4.4;232;anthology 
;20000000;Action;Comedy Horror Mystery Science Fiction Thriller ;en;Supernatural private eye  Dylan Dog  seeks out the monsters of the Louisiana bayou in his signature red shirt  black jacket and blue jeans.;5.879;Hyde Park Films;United States of America;2011-03-16;4634062;107;en;No pulse? No problem;Dylan Dog: Dead of Night;4.4;213;detective vampire supernatural zombie werewolf ghouls 
Inspector Gadget Collection;75000000;Action;Adventure Comedy Family ;en;John Brown is a bumbling but well-intentioned security guard who is badly injured in an explosion planned by an evil mastermind. He is taken to a laboratory  where Brenda  a leading robotics surgeon  replaces his damaged limbs with state-of-the-art gadgets and tools. Named Inspector Gadget by the press  John -- along with his niece  Penny  and her trusty dog  Brain -- uses his new powers to discover who was behind the explosion.;5.571;DiC Entertainment;United States of America;1999-07-23;0;78;en;The greatest hero ever assembled.;Inspector Gadget;4.4;522;gadget 
Sharknado Collection;0;Thriller;Horror Science Fiction ;en;A freak weather system turns its deadly fury on New York City  unleashing a Sharknado on the population and its most cherished  iconic sites - and only Fin and April can save the Big Apple.;4.666;Syfy;United States of America;2014-07-30;0;86;en;Shark happens!;Sharknado 2: The Second One;4.4;297;sequel creature shark creature feature disaster movie 
;0;Comedy;Adventure Crime Romance Family ;en;Two childhood friends  a New York hairstylist and a wanna-be musician  get mixed-up with the mob and are forced to deliver $50 000 to Australia  but things go all wrong when the money is lost to a wild kangaroo.;4.928;Castle Rock Entertainment;Australia;2003-01-17;0;89;en;He stole the money... And hes not giving it back.;Kangaroo Jack;4.4;294;money delivery fool australia hoodlum kangaroo 
Starship Troopers Collection;9000000;Adventure;Science Fiction Action ;en;The war against the Bugs continues! A Federation Starship crash-lands on the distant Alien planet OM-1  stranding beloved leader Sky Marshal Anoke and several others  including comely but tough pilot Lola Beck. Its up to Colonel/General Johnny Rico  reluctant hero of the original Bug Invasion on Planet P  to lead a team of Troopers on a daring rescue mission.;9.968;Sony Pictures Home Entertainment;United States of America;2008-07-19;0;105;en;Do you have what it takes to be a Citizen?;Starship Troopers 3: Marauder;4.4;198;starship space marine marauder 
;120000000;Action;Adventure Science Fiction ;en;Four young outsiders teleport to a dangerous universe  which alters their physical form in shocking ways. Their lives irrevocably upended  the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.;14.334;Moving Picture Company;United States of America;2015-08-05;167977596;100;en;Change is coming.;Fantastic Four;4.4;3398;teleportation transformation telekinesis portal superhero based on comic superhero team fantastic four sci-fi horror body horror invisible woman 
Sharknado Collection;0;Action;TV Movie Science Fiction Comedy Adventure ;en;The sharks take bite out of the East Coast when the sharknado hits Washington  D.C. and Orlando  Florida.;6.452;Syfy;United States of America;2015-07-22;0;88;en;;Sharknado 3: Oh Hell No!;4.4;220;florida nasa tornado sequel space gore shark amusement park space shuttle universal studios orlando florida 
;15000000;Drama;Horror Thriller ;en;A mother and her young son release unimaginable horrors from the attic of their rural dream home.;6.246;Relativity Media;United States of America;2016-09-09;0;92;en;Some mysteries should not be unlocked;The Disappointments Room;4.4;231;parent child relationship son attic ghost 
;0;Comedy;;en;Its a movie about Hungover guys that get lost in a death match game: Each year  drunk people are selected to participate in torturous games the morning after a big night out. Theres no sunglasses  no water  and no headache medicine. The Hungover Games  a film that manages to merge the premises of both The Hunger Games and The Hangover ... and throw in references to Ted  Django Unchained  The Lord of the Rings  Carrie  The Real Housewives of Beverly Hills and whatever else crossed the writers fevered brains during the probably very drunken development process.;2.543;Sense and Sensibility Ventures;United States of America;2014-02-01;0;86;en;The Odds Are So Not In Their Favor;The Hungover Games;4.4;181;
;20000000;Romance;Comedy ;en;An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.;6.723;Open Road Films;United States of America;2016-01-28;21164799;92;en;Way shadier than gray.;Fifty Shades of Black;4.4;567;sex black parody spoof millionaire 
;4000000;Thriller;;en;A recently cheated on married woman falls for a younger man who has moved in next door  but their torrid affair soon takes a dangerous turn.;5.556;Smart Entertainment;United States of America;2015-01-23;52425855;91;en;A Moment She Couldnt Resist. An Obsession He Cant Control.;The Boy Next Door;4.4;1281;sex loss of loved one parent child relationship infidelity obsession blackmail villain hidden camera blind date insanity high school stalker sociopath unrequited love neighbor violence fatal attraction older woman younger man relationship erotic thriller 
;100000000;Action;Fantasy Mystery ;en;Liquidated after discovering a corporate conspiracy  mild-mannered graphic artist Patience Phillips washes up on an island  where shes resurrected and endowed with the prowess of a cat -- and shes eager to use her new skills ... as a vigilante. Before you can say cat and mouse  handsome gumshoe Tom Lone is on her tail.;5.993;Village Roadshow Pictures;United States of America;2004-07-22;82102379;104;es;;Catwoman;4.3;1431;white russian sex dc comics beauty sexism basketball superheroine female protagonist evil corporation catwoman masked superhero cat lady 
;17000000;Horror;Thriller ;en;Plagued by frightening occurrences in their home  Kelly and Ben learn that a universitys parapsychology experiment produced an entity that is now haunting them. The malevolent spirit feeds on fear and torments the couple no matter where they run. Desperate  Kelly and Ben turn to a paranormal researcher  but even with his aid  it may already be too late to save themselves from the terrifying presence.;5.1;Studio Babelsberg Motion Pictures;United States of America;2012-08-23;9627492;82;en;Once You Believe You Die;The Apparition;4.3;195;experiment supernatural paranormal haunting disappearance fear ghost 
In the Name of the King Collection;60000000;Adventure;Fantasy Action Drama ;en;A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son -- two acts committed by the Krugs  a race of animal-warriors who are controlled by the evil Gallian.;7.592;Boll Kino Beteiligungs GmbH & Co. KG;Canada;2007-11-29;0;127;en;Rise and fight;In the Name of the King: A Dungeon Siege Tale;4.3;316;loss of loved one fictional place monster new love hero love of ones life magic fairy tale villain kingdom enchantment bad power son heir to the throne motherly love revenge royalty family based on video game medieval wizard 
;0;Thriller;Horror Mystery ;en;Flight 7500 departs Los Angeles International Airport bound for Tokyo. As the overnight flight makes its way over the Pacific Ocean during its ten-hour course  the passengers encounter what appears to be a supernatural force in the cabin.;4.922;Vertigo Entertainment;Japan;2014-05-16;0;97;ja;At 30 000 feet. Theres Nowhere to Run.;Flight 7500;4.3;276;supernatural flight ghost pacific  ocean 
;100000000;Action;Comedy Science Fiction ;en;The year is 2087  the setting is the moon. Pluto Nash  the high-flying successful owner of the hottest nightclub in the universe  finds himself in trouble when he refuses to sell his club to lunar gangster Mogan  who just happens to be helping the mysterious Rex Crater mastermind a plan to take over the entire moon.;4.277;Mels Cite du Cinema;Australia;2002-08-15;7103973;95;en;Actions future has arrived...;The Adventures of Pluto Nash;4.3;202;moon casino bar laser gun nightclub future mafia boss 
The Jaws Collection;20500000;Thriller;Horror ;en;This third film in the series follows a group of marine biologists attempting to capture a young great white shark that has wandered into Floridas Sea World Park. However  later it is discovered that the sharks 35-foot mother is also a guest at Sea World. What follows is the shark wreaking havoc on the visitors in the park.;7.662;MCA  Theatricals;United States of America;1983-03-16;87987055;99;en;A deadly new attraction.;Jaws 3-D;4.3;437;diving dolphin florida sequel scuba diving swimming shark great white shark killer shark giant animal theme park water skiing boat trouble sea world 3d 
;5000000;Horror;Thriller Science Fiction ;en;Three young conspiracy theorists attempt to uncover the mysteries of Area 51  the governments secret location rumored to have hosted encounters with alien beings. What they find at this hidden facility exposes unimaginable secrets.;4.524;Insurge Pictures;United States of America;2015-05-15;7556;91;en;;Area 51;4.3;214;found footage area 51 
;1344000;Drama;Romance ;fr;In a social context deteriorated by a countrywide economic crisis  the life of several people will be turned upside down after they meet Cecile  a character who symbolizes desire.;11.043;Acajou Films;France;2011-09-14;0;103;fr;;Desire;4.3;166;france sex sexuality love sexual fantasy unfaithfulness prostitution couple desire lesbian sex economic crisis sexual disorder erotic movie 
Speed Collection;160000000;Action;Adventure Thriller ;en;Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction.;6.481;Blue Tulip Productions;United States of America;1997-06-13;164508066;121;en;As the stakes get higher  the ride gets even faster.;Speed 2: Cruise Control;4.3;667;diamond boat cruise computer disaster collision course 
;0;Mystery;Science Fiction Thriller ;en;4 would be astronauts spend 400 days in a land locked space simulator to test the psychological effects of deep space travel but  when something goes terribly wrong and they are forced to leave the simulation  they discover that everything on earth has changed. Is this real or is the simulation on a higher level than they could have ever imagined?;4.884;New Artists Alliance;United States of America;2015-10-29;0;91;en;Time to Kill;400 Days;4.3;263;spacecraft experiment simulation space astronaut 
Police Academy Collection;0;Comedy;Crime ;en;The Russians need help in dealing with the Mafia and so they seek help with the veterans of the Police Academy. They head off to Moscow  in order to find evidence against Konstantin Konali  who marketed a computer game that everyone in the world is playing.;7.485;Warner Bros. Pictures;United States of America;1994-06-09;126247;83;en;Just when we thought the Cold War was over  leave it to these guys to heat it up again.;Police Academy: Mission to Moscow;4.3;291;video game mafia police academy moscow commandant 
Blair Witch Collection;0;Mystery;Thriller Horror ;en;Young adults become fascinated by the events of the three missing filmmakers in Maryland  so they decide to go into the same woods and find out what really happened.;4.657;Haxan Films;United States of America;2000-10-27;0;90;en;Evil Doesnt Die.;Book of Shadows: Blair Witch 2;4.3;311;witch video forest horror vision 
;60000000;Thriller;Science Fiction ;en;British Ministry agent John Steed  under direction from Mother  investigates a diabolical plot by arch-villain Sir August de Wynter to rule the world with his weather control machine. Steed investigates the beautiful Doctor Mrs. Emma Peel  the only suspect  but simultaneously falls for her and joins forces with her to combat Sir August.;7.377;Jerry Weintraub Productions;United States of America;1998-08-13;48585416;89;en;Saving the World in Style.;The Avengers;4.3;293;london england weather manipulation wretch 
;40000000;Fantasy;Horror Mystery Thriller ;en;A young man comes to possess a supernatural notebook  the Death Note  that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world  but an enigmatic detective attempts to track him down and end his reign of terror.;8.364;Vertigo Entertainment;United States of America;2017-08-25;0;101;en;;Death Note;4.3;2069;notebook based on manga death anime based on anime 
;0;Comedy;;fr;Coco is a French comedy released in 2009 and produced by Gad Elmaleh. This is the first embodiment of the actor  adapted from a sketch in the show La Vie Normale. Coco talks about organizing a Bar Mitzvah.;4.688;L‚gende Films;France;2009-07-21;0;95;fr;;Coco;4.3;234;
Sharknado Collection;0;Comedy;Horror Science Fiction ;en;The new installment of the Sharknado franchise takes place 5 years after Sharknado 3: Oh Hell No! There have been no Sharknados in the intervening years  but now they?re appearing again in unexpected ways.;4.589;Syfy;United States of America;2016-07-31;0;85;en;What happens in Vegas  stays in Vegas. Unless what happens is this.;Sharknado 4: The 4th Awakens;4.3;167;shark attack sequel farce las vegas creature feature 
;0;Horror;;en;After learning of an urban legend in which a demented serial killer named SMILEY can be summoned through the Internet  mentally fragile Ashley must decide whether she is losing her mind or becoming Smileys next victim.;6.026;Level 10 Films;United States of America;2012-10-12;0;90;en;The New Face of Fear;Smiley;4.3;174;
;10000000;Thriller;Science Fiction Action Adventure ;en;Julian Michaels has designed the ultimate resort: VICE  where anything goes and the customers can play out their wildest fantasies with artificial inhabitants who look  think and feel like humans. When an artificial becomes self-aware and escapes  she finds herself caught in the crossfire between Julians mercenaries and a cop who is hell-bent on shutting down Vice  and stopping the violence once and for all.;11.623;Grindstone Entertainment Group;United States of America;2015-01-16;0;96;en;Where the future is your past.;Vice;4.2;294;artificial intelligence android self-awareness mercenary virtual reality cop resort artificial 
;60000;Horror;Science Fiction ;en;In California  an old man grieves the loss of his wife and on the next day he also dies. However  the space soldier Eros and her mate Tanna use an electric device to resurrect them both and the strong Inspector Clay that was murdered by the couple. Their intention is not to conquest Earth but to stop mankind from developing the powerful bomb ?Solobonite? that would threaten the universe. When the population of Hollywood and Washington DC sees flying saucers on the sky  a colonel  a police lieutenant  a commercial pilot  his wife and a policeman try to stop the aliens.;5.357;Reynolds Pictures;United States of America;1959-07-22;0;79;en;Unspeakable horrors from outer space paralyze the living and resurrect the dead!;Plan 9 from Outer Space;4.2;202;california stewardess fog tombstone resurrection alien zombie alien invasion cult film ghoul grave digger siren 
;62000000;Comedy;Romance ;en;Born in America and raised in an Indian ashram  Pitka returns to his native land to seek his fortune as a spiritualist and self-help expert. His skills are put to the test when he must get a brokenhearted hockey players marriage back on track in time for the man to help his team win the Stanley Cup.;5.009;Paramount;United States of America;2008-06-20;41819064;87;en;His Karma is Huge;The Love Guru;4.2;341;sport ice hockey guru india spiritualist broken heart self-help stanley cup chastity ashram expert 
Street Fighter (Live-Action) Collection;35000000;Action;Adventure Thriller Drama ;en;Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.;7.678;Capcom;Japan;1994-12-22;99423521;102;en;The fight to save the world is on!;Street Fighter;4.2;523;dictator martial arts hostage liberation of hostage hostage-taking street fighter united nations based on video game 
The Three Mothers Collection;3500000;Horror;;it;An ancient urn is found in a cemetery outside Rome. Once opened  it triggers a series of violent incidents: robberies  rapes and murders increase dramatically  while several mysterious  evil-looking young women coming from all over the world are gathering in the city. All these events are caused by the return of Mater Lacrimarum  the last of three powerful witches who have been spreading terror and death for centuries. Alone against an army of psychos and demons  Sarah Mandy  an art student who seems to have supernatural abilities of her own  is the only person left to prevent the Mother of Tears from destroying Rome.;8.214;Film Commission Torino-Piemonte;Italy;2007-09-06;54947;102;en;What you see does not exist. What you cannot see is truth.;The Mother of Tears;4.2;194;rome italy witch coffin sacrifice urn cult paranormal 
Friday the 13th Collection;3000000;Horror;;en;Jason Voorhees  the living  breathing essence of evil  is back for one fierce  final fling! Tracked down and blown to bits by a special FBI task force  everyone now assumes that hes finally dead. But everybody assumes wrong. Jason has been reborn with the bone-chilling ability to assume the identity of anyone he touches. The terrifying truth is that he could be anywhere  or anybody. In this shocking  blood-soaked finale to Jasons carnage-ridden reign of terror  the horrible secret of his unstoppable killing instinct is finally revealed.;11.298;New Line Cinema;United States of America;1993-08-13;15938065;87;en;Evil has finally found a home.;Jason Goes to Hell: The Final Friday;4.2;295;waitress camping psychopath murder serial killer diner series of murders violence hockey mask jason vorhees madman 
